Country,Region,Cercle,Commune,Village,Latitude,Longitude,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR
Mali,Tombouctou,Tombouctou,Tombouctou,Abaradjo,16.7760104,-3.00884502,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Gourma-Rharous,Rharous,Acheick-koira,16.8408942,-2.0468522,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Lafia,Aglal,16.6143458,-2.6836714,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Gao,N'Tillit,Ahaidama,15.5548711,-0.4619503,2,ML02,Northern Livestock,Nord élevage
Mali,Douentza,Douentza,Petaka,Alabengouma,15.0623386,-2.80862552,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Petaka,Alamina,15.0542176,-2.8672044,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Dallah,Ama,15.1359161,-2.51541165,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Serere,Amaragoungou,16.7836725,-2.3458389,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Anakaga ,14.1268789,-3.05181865,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Barapireli,Anakanda (Barapireli),14.3281179,-3.16925665,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Ansongo,Ansongo,Ansongo,15.6628029,0.50406548,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Arnasaye,16.7047641,-2.7894794,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Ayabosso,15.6142926,-0.4940097,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Tombouctou,Tombouctou,Badjende,16.7689397,-3.00584502,17,ML17,Urban,Milieu urbain
Mali,Gao,Gao,Soni Ali Ber,Bagnadji,16.5077915,-0.1228839,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
